Type,Date,Exercise / Meal,Category / Meal Type,Set Number,Reps,Weight (kg),Duration (hrs),Duration (mins),Total Duration (mins),Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Heart Rate (bpm),Foods,Notes,Logged At (UTC)
"Workout","2026-06-24","Chest Press Wide Machine","chest","3","5","80","","","","","","","","","","","",""
"Workout","2026-06-24","Chest Press Wide Machine","chest","2","7","80","","","","","","","","","","","",""
"Workout","2026-06-24","Chest Press Wide Machine","chest","1","8","80","","","","","","","","","","","","2026-06-24T07:12:06.521Z"
"Workout","2026-06-24","Tricep Pushdowns","triceps","4","10","57.5","","","","","","","","","","","",""
"Workout","2026-06-24","Tricep Pushdowns","triceps","3","12","57.5","","","","","","","","","","","",""
"Workout","2026-06-24","Tricep Pushdowns","triceps","2","12","57.5","","","","","","","","","","","",""
"Workout","2026-06-24","Tricep Pushdowns","triceps","1","15","45","","","","","","","","","","","","2026-06-24T07:04:35.092Z"
"Workout","2026-06-24","Fly Machine","chest","4","8","102.5","","","","","","","","","","","",""
"Workout","2026-06-24","Fly Machine","chest","3","8","110","","","","","","","","","","","",""
"Workout","2026-06-24","Fly Machine","chest","2","8","110","","","","","","","","","","","",""
